,Unnamed: 0,fullName,firstName,lastName,gender,isoCountry,continent,birthYear,hasMiddleName,hasNoLastName,source,lastLetter
155,155,Henrietta Mbawah,Henrietta,Mbawah,female,SL,Africa,1988,False,False,wikidata,a
157,157,Sanaba Kaba,Sanaba,Kaba,female,GN,Africa,1950,False,False,wikidata,a
159,159,Davina Itoo,Davina,Itoo,female,MU,Africa,1983,False,False,wikidata,a
161,161,Hannatu Bashir,Hannatu,Bashir,female,NG,Africa,1992,False,False,wikidata,u
162,162,Fadila Muhammad,Fadila,Muhammad,female,NG,Africa,1992,False,False,wikidata,a
163,163,Susan Akene,Susan,Akene,female,NG,Africa,1989,False,False,wikidata,n
164,164,Yolanda Steyn,Yolanda,Steyn,female,ZA,Africa,1972,False,False,wikidata,a
165,165,Johanna Mafuyana,Johanna,Mafuyana,female,ZW,Africa,1927,False,False,wikidata,a
166,166,Bouchra Zboured,Bouchra,Zboured,female,MA,Africa,1950,False,False,wikidata,a
169,169,Arlete Bombe,Arlete,Bombe,female,MZ,Africa,1983,False,False,wikidata,e
170,170,Selma Hellal,Selma,Hellal,female,DZ,Africa,1973,False,False,wikidata,a
172,172,Lihle Dhlomo,Lihle,Dhlomo,female,ZA,Africa,1990,False,False,wikidata,e
174,174,Rebecca Majeka,Rebecca,Majeka,female,ZA,Africa,1939,False,False,wikidata,a
175,175,Helena Amoako,Helena,Amoako,female,GH,Africa,1975,False,False,wikidata,a
176,176,Dora Manu,Dora,Manu,female,GH,Africa,1976,False,False,wikidata,a
177,177,Yetunde Arobieke,Yetunde,Arobieke,female,NG,Africa,1960,False,False,wikidata,e
178,178,Mable Esendi,Mable,Esendi,female,KE,Africa,1961,False,False,wikidata,e
179,179,Florence Wanjiru,Florence,Wanjiru,female,KE,Africa,1950,False,False,wikidata,e
180,180,Emebet Shiferaw,Emebet,Shiferaw,female,ET,Africa,1973,False,False,wikidata,t
181,181,Ilse Wicksell,Ilse,Wicksell,female,ZA,Africa,1959,False,False,wikidata,e
182,182,Berhane Herpassa,Berhane,Herpassa,female,ET,Africa,1983,False,False,wikidata,e
183,183,Mayra Rondo,Mayra,Rondo,female,GQ,Africa,1988,False,False,wikidata,a
184,184,Linah Cheruiyot,Linah,Cheruiyot,female,KE,Africa,1950,False,False,wikidata,h
185,185,Regina Chemeli,Regina,Chemeli,female,KE,Africa,1970,False,False,wikidata,a
186,186,Esther Ndoumbé,Esther,Ndoumbé,female,CM,Africa,1940,False,False,wikidata,r
187,187,Geneviève Obone,Geneviève,Obone,female,GA,Africa,1990,False,False,wikidata,e
188,188,Diane Zancy,Diane,Zancy,female,GA,Africa,1950,False,False,wikidata,e
189,189,Rethabile Ramaphakela,Rethabile,Ramaphakela,female,ZA,Africa,1987,False,False,wikidata,e
190,190,Pearl Jansen,Pearl,Jansen,female,ZA,Africa,1950,False,False,wikidata,l
191,191,Viola Jelagat,Viola,Jelagat,female,KE,Africa,1992,False,False,wikidata,a
192,192,Martha Udom,Martha,Udom,female,NG,Africa,1970,False,False,wikidata,a
193,193,Ismahane Lahmar,Ismahane,Lahmar,female,TN,Africa,1982,False,False,wikidata,e
194,194,Yejide Kilanko,Yejide,Kilanko,female,NG,Africa,1975,False,False,wikidata,e
196,196,Edna Noy,Edna,Noy,female,ZA,Africa,1950,False,False,wikidata,a
197,197,Mouna Sabri,Mouna,Sabri,female,MA,Africa,1984,False,False,wikidata,a
198,198,Ajibola Ponnle,Ajibola,Ponnle,female,NG,Africa,1973,False,False,wikidata,a
199,199,Aya Samaha,Aya,Samaha,female,EG,Africa,1992,False,False,wikidata,a
